WaterFee_Mutant2,=1/1
MySqrt_Mutant5,=0/1
GetUpCaseLoop_Mutant3,=1/1
AddHalfSelf_Mutant2,=1/2
AddHalfSelf_Mutant3,=1/1
WaterFee_Mutant1,=1/1
GetUpCaseLoop_Mutant1,=1/1
AddHalfSelf_Original,=0/1
GetUpCaseLoop_Mutant2,=1/1
MySqrt_Mutant4,=0/1
AddHalfSelf_Mutant4,=1/1
GetLowCaseLoop_M3,=1/1
GetLowCaseLoop_Original,=1/1
GetLowCaseLoop_M1,=1/1
AddHalfSelf_Mutant1,=1/1
GetUpCaseLoop_Original,=1/1
GetLowCaseLoop_M2,=1/1
MySqrt_Mutant3,=0/1
GetUpCaseLoop_Mutant4,=1/1
WaterFee_Original,=1/1
MySqrt_Mutant1,=0/1
WaterFee_Mutant3,=0/1
MySqrt_Original,=0/1
GetLowCaseLoop_M4,=1/1
WaterFee_Mutant4,=0/1
